Incident ID;Agency;Offense;Street;City;State;Longitude;Latitude;Forcible;maps;Date of Report;Hour of Report;Date of Occurence;Hour of Occurence;Date Found;Hour Found;Apartment;Zipcode;Reported As;Premise Description;Victim Age;Weapon Description;Victim Race;Victim Gender 
141874;CHPD;BURGLARY-NO FORCE;322 BROOKS ST;CHAPEL HILL;NC;-79.06274849;35.91650196;;35.91650196, -79.06274849;2017-03-18;20:39:00;2017-03-18;20:39:00;2017-03-18;20:39:00;;27516;BURGLARY/HOME I;HOME OF VICTIM - OTHER DWELLING;21.0;NOT APPLICABLE/NONE;W;F
141764;CHPD;DOMESTIC DISTURBANCE/NO ASSAULT;5639 OLD CHAPEL HILL RD;DURHAM;NC;-79.00180054;35.94472122;N;35.94472122, -79.00180054;2017-03-16;20:30:00;2017-03-16;20:25:00;2017-03-16;20:30:00;1101;27707;DOMESTIC DISTUR;HOME OF VICTIM - OTHER DWELLING;41.0;NOT APPLICABLE/NONE;W;F
141748;CHPD;LARCENY- ALL OTHER;201 S ESTES DR;CHAPEL HILL;NC;-79.0297071;35.92785452;N;35.92785452, -79.0297071;2017-03-16;10:02:00;2017-03-01;17:00:00;2017-03-16;10:02:00;;27514;THEFT/LARCENY;CONSTRUCTION SITE;;NOT APPLICABLE/NONE;;
141691;CHPD;LARCENY-ALL OTHER;201 S ESTES DR;CHAPEL HILL;NC;-79.0297071;35.92785452;N;35.92785452, -79.0297071;2017-03-15;23:59:59;2017-03-15;15:00:00;2017-03-15;20:00:00;;27514;THEFT/LARCENY;CONVENIENCE STORE;;NOT APPLICABLE/NONE;;
141679;CHPD;DRIVER`S ED;500 WEAVER DAIRY RD;CHAPEL HILL;NC;-79.02856645;35.96062746;N;35.96062746, -79.02856645;2017-03-14;18:25:00;2017-03-14;15:39:00;2017-03-14;18:20:00;;27514;TRAFFIC/TRANSPO;SCHOOL/COLLEGE;;NOT APPLICABLE/NONE;;
141623;CHPD;B&E RESIDENCE NO FORCE;122 WINDSOR PL;CHAPEL HILL;NC;-79.06070787;35.94344384;N;35.94344384, -79.06070787;2017-03-13;14:52:00;2017-03-13;11:55:00;2017-03-13;12:00:00;;27516;BURGLARY/HOME I;HOME OF VICTIM - SINGLE FAMILY;;NOT APPLICABLE/NONE;W;F
141559;CHPD;TRESPASSING;175 E FRANKLIN ST;CHAPEL HILL;NC;-79.05336187;35.91431634;N;35.91431634, -79.05336187;2017-03-12;12:00:00;2017-03-12;12:00:00;2017-03-12;12:00:00;;27514;DISTURBANCE/NUI;BAR/NIGHTCLUB/LOUNGE;;NOT APPLICABLE/NONE;;
140349;CHPD;DAMAGE TO PROPERTY(NON-CRIMINAL);828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05292697;35.92695367;N;35.92695367, -79.05292697;2017-02-14;20:03:00;2017-02-14;20:03:00;2017-02-14;20:03:00;;27514;PUBLIC SERVICE;UNKNOWN;27.0;NOT APPLICABLE/NONE;B;F
140326;CHPD;SUSPICIOUS CONDITION;110 ASHLEY FOREST RD;CHAPEL HILL;NC;-79.05668851;35.94415424;;35.94415424, -79.05668851;2017-02-14;15:16:00;2017-02-14;12:30:00;2017-02-14;15:00:00;A;27514;BURGLARY/HOME I;HOME OF VICTIM - OTHER DWELLING;;NOT APPLICABLE/NONE;;
140273;CHPD;B&E RESIDENCE NO FORCE;211 N ELLIOTT RD;CHAPEL HILL;NC;-79.03311001;35.93580671;;35.93580671, -79.03311001;2017-02-13;11:22:00;2017-02-13;11:22:00;2017-02-13;11:22:00;;27514;SUSPICIOUS/WANT;HOME OF VICTIM - SINGLE FAMILY;;NOT APPLICABLE/NONE;W;F
142133;CHPD;PUBLIC INEBRIATE;333 W ROSEMARY ST;CHAPEL HILL;NC;-79.06166507;35.91190558;N;35.91190558, -79.06166507;2017-03-25;2:42:00;2017-03-25;2:42:00;2017-03-25;2:42:00;;27516;UNKNOWN PROBLEM;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
142053;CHPD;VOLUNTARY MENTAL COMMITMENT;XX XX;CHAPEL HILL;NC;;;N;;2017-03-23;1:46:00;2017-03-23;1:46:00;2017-03-23;1:46:00;;27516;MENTAL DISORDER;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;W;M
142085;CHPD;INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT;XX XX;CHAPEL HILL;NC;;;;;2017-03-23;22:54:00;2017-03-23;22:53:00;2017-03-23;22:54:00;;27517;DOMESTIC DISTUR;HOME OF VICTIM - SINGLE FAMILY;;NOT APPLICABLE/NONE;W;M
142218;CHPD;ASSAULT ON FEMALE;140 W FRANKLIN ST;CHAPEL HILL;NC;-79.05826013;35.91302252;Y;35.91302252, -79.05826013;2017-03-26;21:42:00;2017-03-26;21:42:00;2017-03-26;21:42:00;;27516;DISTURBANCE/NUI;BAR/NIGHTCLUB/LOUNGE;;NOT APPLICABLE/NONE;W;F
142194;CHPD;DOMESTIC DISTURBANCE/NO ASSAULT;100 LOUIS ARMSTRONG CT;CHAPEL HILL;NC;-79.04709196;35.94722122;N;35.94722122, -79.04709196;2017-03-26;23:59:59;2017-03-26;23:59:59;2017-03-26;23:59:59;A;27514;TRESPASSING/UNW;HOME OF VICTIM - OTHER DWELLING;65.0;NOT APPLICABLE/NONE;B;M
139030;CHPD;SIMPLE POSSESSION;343 W ROSEMARY ST at MITCHELL LN;CHAPEL HILL;NC;-79.06241608;35.91174316;N;35.91174316, -79.06241608;2017-01-20;2:26:00;2017-01-20;2:26:00;2017-01-20;2:26:00;;27516;TRAFFIC STOP;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
138990;CHPD;FUNERAL ESCORT;828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05292697;35.92695367;;35.92695367, -79.05292697;2017-01-19;10:46:00;2017-01-19;10:46:00;2017-01-19;10:46:00;;27514;ESCORT;;;;;
138941;CHPD;ASSIST E MS;110 NEW STATESIDE DR;CHAPEL HILL;NC;-79.05954322;35.95572932;N;35.95572932, -79.05954322;2017-01-18;4:58:00;2017-01-18;4:50:00;2017-01-18;4:51:00;;27516;DISTURBANCE/NUI;MEDICAL FACILITY;;NOT APPLICABLE/NONE;W;M
138802;CHPD;LOUD MUSIC/PARTY;106 N ELLIOTT RD;CHAPEL HILL;NC;-79.02965899;35.93728558;N;35.93728558, -79.02965899;2017-01-14;19:43:00;2017-01-14;19:43:00;2017-01-14;19:43:00;C7;27514;DISTURBANCE/NUI;HOME OF OFFENDER - OTHER DWELL;;NOT APPLICABLE/NONE;;
138638;CHPD;SCHOOL ZONE PATROL;1495 EPHESUS CHURCH RD;CHAPEL HILL;NC;-79.01603621;35.93371093;;35.93371093, -79.01603621;2017-01-12;8:30:00;2017-01-12;7:40:00;2017-01-12;7:40:00;;27517;SCHOOL PATROL;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
138665;CHPD;HARASSING PHONE CALLS-NO THREATS;1709 HIGH SCHOOL RD;CHAPEL HILL;NC;-79.08056977;35.94652745;N;35.94652745, -79.08056977;2017-01-12;16:53:00;2016-09-01;16:53:00;2017-01-12;16:53:00;;27516;HARASSMENT/STAL;SCHOOL/COLLEGE;;OTHER WEAPON;B;F
138625;CHPD;SOLICITING PERMIT;828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05292697;35.92695367;;35.92695367, -79.05292697;2017-01-11;14:28:00;2017-01-11;14:28:00;2017-01-11;14:28:00;;27514;INFO MESSAGE;GOVERNMENT/PUBLIC BUILDING;;NOT APPLICABLE/NONE;;
141564;CHPD;DRIVING WHILE IMPAIRED;120 N ESTES DR at BURLAGE CIR;CHAPEL HILL;NC;-79.03554253;35.93061856;N;35.93061856, -79.03554253;2017-03-11;22:13:00;2017-03-11;22:13:00;2017-03-11;22:13:00;;27514;TRAFFIC/TRANSPO;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
141509;CHPD;DOG BITES AND ATTACKS;106 N BASNIGHT LN;CHAPEL HILL;NC;-79.06208392;35.91013677;;35.91013677, -79.06208392;2017-03-11;9:20:00;2017-03-11;9:10:00;2017-03-11;9:11:00;E;27516;ANIMAL BITE;HOME OF VICTIM - SINGLE FAMILY;56.0;NOT APPLICABLE/NONE;W;F
141448;CHPD;COMMUNICATING THREATS -INTIMIDATION  NON PHYSICAL THREAT;1220 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05780729;35.94883884;;35.94883884, -79.05780729;2017-03-10;12:18:00;2017-03-09;23:00:00;2017-03-10;7:00:00;;27514;MISC OFFICER IN;CHURCH/SYNAGOGUE/TEMPLE;45.0;NOT APPLICABLE/NONE;W;M
141334;CHPD;DISTURBING THE PEACE;101 LEGACY TER;CHAPEL HILL;NC;-79.06045782;35.94703589;N;35.94703589, -79.06045782;2017-03-07;20:53:00;2017-03-07;20:53:00;2017-03-07;20:53:00;222;27516;DOMESTIC DISTUR;HOME OF OFFENDER - OTHER DWELL;;NOT APPLICABLE/NONE;;
141217;CHPD;FOUND PROPERTY;100 E ROSEMARY ST;CHAPEL HILL;NC;-79.055707;35.91401936;N;35.91401936, -79.055707;2017-03-05;23:59:59;2017-03-05;23:59:59;2017-03-05;23:59:59;;27514;ADMINISTRATIVE;HIGHWAY/ROAD/STREET  ETC.;34.0;NOT APPLICABLE/NONE;W;F
141255;CHPD;RUNAWAY;212 RIDGE TRL;CHAPEL HILL;NC;-79.06853499;35.92138883;N;35.92138883, -79.06853499;2017-03-05;18:34:00;2017-03-05;17:45:00;2017-03-05;17:45:00;;27516;MISSING/RUNAWAY;HOME OF VICTIM - OTHER DWELLING;;NOT APPLICABLE/NONE;;
141198;CHPD;LOUD MUSIC/PARTY;703 N COLUMBIA ST;CHAPEL HILL;NC;-79.0598228;35.9205387;;35.9205387, -79.0598228;2017-03-04;17:20:00;2017-03-04;17:20:00;2017-03-04;17:20:00;;27516;DISTURBANCE/NUI;HOME OF OFFENDER - OTHER DWELL;;NOT APPLICABLE/NONE;;
141155;CHPD;DOMESTIC DISTURBANCE/NO ASSAULT;118 HAMILTON RD;CHAPEL HILL;NC;-79.0228646;35.91297175;N;35.91297175, -79.0228646;2017-03-03;17:51:00;2017-03-03;17:45:00;2017-03-03;17:51:00;;27517;DOMESTIC DISTUR;HOME OF VICTIM - OTHER DWELLING;48.0;NOT APPLICABLE/NONE;W;F
141137;CHPD;TRESPASSING;409 W FRANKLIN ST;CHAPEL HILL;NC;-79.06115133;35.91085841;N;35.91085841, -79.06115133;2017-03-03;6:45:00;2017-03-03;6:45:00;2017-03-03;6:45:00;;27516;TRESPASSING/UNW;RESTAURANT;;NOT APPLICABLE/NONE;;
141115;CHPD;SOLICITING COMPLAINTS;210 ST ANDREWS LN;CHAPEL HILL;NC;-79.0085269;35.9385854;N;35.9385854, -79.0085269;2017-03-02;16:31:00;2017-03-02;16:00:00;2017-03-02;16:31:00;;27517;DISTURBANCE/NUI;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
141126;CHPD;B&E RESIDENCE NO FORCE;2701 HOMESTEAD RD;CHAPEL HILL;NC;-79.06216213;35.9507176;N;35.9507176, -79.06216213;2017-03-02;19:51:00;2017-03-02;19:40:00;2017-03-02;19:50:00;801;27516;BURGLARY/HOME I;HOME OF VICTIM - OTHER DWELLING;21.0;NOT APPLICABLE/NONE;W;M
141128;CHPD;ASSIST OTHER AGENCY WITH K-9 SEARCH;401 NC 54;CARRBORO;NC;-79.08196288;35.90476885;;35.90476885, -79.08196288;2017-03-02;22:03:00;2017-03-02;22:03:00;2017-03-02;22:03:00;;27510;DISTURBANCE/NUI;BEHIND BUILDING/ALLEY;;RIFLE;;
140279;CHPD;VANDALISM / DAMAGE TO PROPERTY (WILLFUL);308 W ROSEMARY ST;CHAPEL HILL;NC;-79.05987218;35.91334305;Y;35.91334305, -79.05987218;2017-02-13;14:24:00;2017-02-13;14:24:00;2017-02-13;14:24:00;;27516;DAMAGE/VANDALIS;COMMERCIAL/OFFICE BUILDING;;OTHER WEAPON;;
140197;CHPD;FLEEING TO ELUDE;S COLUMBIA ST at FRATERNITY CT;CHAPEL HILL;NC;;;N;;2017-02-12;1:26:00;2017-02-12;1:26:00;2017-02-12;1:26:00;;27516;TRAFFIC STOP;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
140207;CHPD;OVERDOSE;200 PITTSBORO ST at W CAMERON AVE;CHAPEL HILL;NC;-79.05554962;35.91030502;N;35.91030502, -79.05554962;2017-02-12;3:53:00;2017-02-12;3:50:00;2017-02-12;3:51:00;;27516;ASSAULT/SEXUAL;OTHER RESIDENCE - OTHER DWELLING;;NOT APPLICABLE/NONE;W;F
140202;CHPD;DRIVING WHILE IMPAIRED;318 COBBLESTONE CT;CHAPEL HILL;NC;-79.02297741;35.94205883;N;35.94205883, -79.02297741;2017-02-11;22:36:00;2017-02-11;22:36:00;2017-02-11;22:36:00;;27514;TRAFFIC STOP;PARKING LOT/AREA;;NOT APPLICABLE/NONE;;
140001;CHPD;OBTAINING MONEY BY FALSE PRETENSE;103 E FRANKLIN ST;CHAPEL HILL;NC;-79.05559957;35.91347007;N;35.91347007, -79.05559957;2017-02-08;19:50:00;2017-02-08;19:45:00;2017-02-08;19:50:00;;27514;DISTURBANCE/NUI;RESTAURANT;;NOT APPLICABLE/NONE;;
139831;CHPD;RESISTING ARREST;501 WEAVER DAIRY RD;CHAPEL HILL;NC;-79.03350855;35.96001818;N;35.96001818, -79.03350855;2017-02-04;21:38:00;2017-02-04;21:37:00;2017-02-04;21:38:00;;27514;SUSPICIOUS/WANT;OPEN LAND AREAS;;NOT APPLICABLE/NONE;W;M
140138;CHPD;LARCENY FROM BUILDING;81 S ELLIOTT RD;CHAPEL HILL;NC;-79.02809665;35.93474596;;35.93474596, -79.02809665;2017-02-11;11:22:00;2017-02-10;16:50:00;2017-02-10;17:40:00;;27514;THEFT/LARCENY;GROCERY/SUPERMARKET;67.0;NOT APPLICABLE/NONE;W;M
140169;CHPD;ALCOHOL COMPLIANCE;828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05292697;35.92695367;N;35.92695367, -79.05292697;2017-02-11;11:42:00;2017-02-11;11:42:00;2017-02-11;11:42:00;;27514;MISC OFFICER IN;ALL OTHER;;NOT APPLICABLE/NONE;;
141246;CHPD;PANHANDLING/LOITERING;165 E FRANKLIN ST;CHAPEL HILL;NC;-79.05362522;35.91424272;N;35.91424272, -79.05362522;2017-03-05;16:52:00;2017-03-05;16:00:00;2017-03-05;16:00:00;;27514;TRESPASSING/UNW;FINANCIAL INSTITUTION;;NOT APPLICABLE/NONE;;
141173;CHPD;B&E RESIDENCE NO FORCE;2701 HOMESTEAD RD;CHAPEL HILL;NC;-79.06216213;35.9507176;N;35.9507176, -79.06216213;2017-03-04;2:59:00;2017-03-03;17:01:00;2017-03-04;2:59:00;801;27516;BURGLARY/HOME I;HOME OF VICTIM - OTHER DWELLING;21.0;NOT APPLICABLE/NONE;W;M
141132;CHPD;LARCENY- ALL OTHER;202 W ROSEMARY ST;CHAPEL HILL;NC;-79.0579172;35.91376889;;35.91376889, -79.0579172;2017-03-03;1:51:00;2017-03-03;0;2017-03-03;1:51:00;;27516;THEFT/LARCENY;RESTAURANT;35.0;PERSONAL WEAPONS (HANDS  FEET;W;M
140990;CHPD;B&E    LARCENY F/VEHICLE;115 S GRAHAM ST;CHAPEL HILL;NC;-79.06327758;35.90882999;N;35.90882999, -79.06327758;2017-02-28;10:39:00;2017-02-27;20:00:00;2017-02-28;8:30:00;;27516;THEFT/LARCENY;HOME OF VICTIM - SINGLE FAMILY;21.0;NOT APPLICABLE/NONE;W;F
140833;CHPD;DOMESTIC SIMPLE  ASSAULT;909 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05571167;35.93098953;Y;35.93098953, -79.05571167;2017-02-25;3:05:00;2017-02-25;3:05:00;2017-02-25;3:05:00;;27516;DOMESTIC DISTUR;HOME OF VICTIM - OTHER DWELLING;24.0;PERSONAL WEAPONS (HANDS  FEET;W;F
140808;CHPD;LARCENY FROM BUILDING;1800 E FRANKLIN ST;CHAPEL HILL;NC;-79.02639606;35.93537443;N;35.93537443, -79.02639606;2017-02-24;13:54:00;2017-02-24;13:54:00;2017-02-24;13:54:00;;27514;ROBBERY/CARJACK;OTHER RETAIL ESTABLISHMENT;;PERSONAL WEAPONS (HANDS  FEET;;
140717;CHPD;INDECENT EXPOSURE;XX XX;CHAPEL HILL;NC;;;N;;2017-02-22;17:46:00;2017-02-22;17:41:00;2017-02-22;17:46:00;;27514;INDECENCY/LEWDN;GOVERNMENT/PUBLIC BUILDING;;NOT APPLICABLE/NONE;;
140698;CHPD;IDENTITY THEFT;161 HAMILTON RD;CHAPEL HILL;NC;-79.02346677;35.9156109;;35.9156109, -79.02346677;2017-02-22;10:32:00;2017-02-20;18:00:00;2017-02-20;19:00:00;;27517;FRAUD OR DECEPT;OTHER RETAIL ESTABLISHMENT;42.0;NOT APPLICABLE/NONE;A;M
140694;CHPD;COMMUNICATING THREATS -INTIMIDATION  NON PHYSICAL THREAT;2701 HOMESTEAD RD;CHAPEL HILL;NC;-79.06216213;35.9507176;N;35.9507176, -79.06216213;2017-02-22;9:57:00;2017-02-17;2:00:00;2017-02-22;9:57:00;714;27516;HARASSMENT/STAL;HOME OF VICTIM - OTHER DWELLING;23.0;NOT APPLICABLE/NONE;B;F
140619;CHPD;VANDALISM / DAMAGE TO PROPERTY (WILLFUL);100 LIBRARY DR;CHAPEL HILL;NC;-79.03572266;35.93219297;N;35.93219297, -79.03572266;2017-02-20;16:23:00;2017-02-20;16:23:00;2017-02-20;16:23:00;;27514;DAMAGE/VANDALIS;GOVERNMENT/PUBLIC BUILDING;;NOT APPLICABLE/NONE;;
140620;CHPD;B&E    LARCENY F/VEHICLE;800 PRITCHARD AVE EXT;CHAPEL HILL;NC;-79.06116486;35.92024612;N;35.92024612, -79.06116486;2017-02-20;16:15:00;2017-02-20;8:00:00;2017-02-20;16:15:00;C12;27516;THEFT/LARCENY;PARKING LOT/AREA;30.0;NOT APPLICABLE/NONE;W;M
140523;CHPD;POSSESSION OF LSD;FORDHAM BLVD at NC 54;CHAPEL HILL;NC;-79.05203247;35.89476013;N;35.89476013, -79.05203247;2017-02-18;14:44:00;2017-02-18;14:44:00;2017-02-18;14:44:00;;27514;TRAFFIC STOP;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
140514;CHPD;COMMUNICATING THREATS -INTIMIDATION  NON PHYSICAL THREAT;121 E FRANKLIN ST;CHAPEL HILL;NC;-79.05497392;35.91371893;N;35.91371893, -79.05497392;2017-02-18;12:17:00;2017-02-18;12:17:00;2017-02-18;12:17:00;;27514;DISTURBANCE/NUI;OTHER RETAIL ESTABLISHMENT;;NOT APPLICABLE/NONE;W;F
140489;CHPD;CALL FOR SERVICE;137 E FRANKLIN ST;CHAPEL HILL;NC;-79.05482185;35.91425874;;35.91425874, -79.05482185;2017-02-17;20:00:00;2017-02-17;20:00:00;2017-02-17;20:00:00;;27514;PUBLIC SERVICE;PHARMACY;52.0;NOT APPLICABLE/NONE;B;M
140475;CHPD;FRAUDULENT CHECK;710 MARKET ST;CHAPEL HILL;NC;-79.06615483;35.88051793;N;35.88051793, -79.06615483;2017-02-17;15:20:00;2017-02-17;14:48:00;2017-02-17;14:48:00;;27516;FRAUD OR DECEPT;OTHER RETAIL ESTABLISHMENT;;NOT APPLICABLE/NONE;;
140400;CHPD;DOMESTIC SIMPLE  ASSAULT;108 MISTY WOODS CIR;CHAPEL HILL;NC;-79.05622394;35.93898954;N;35.93898954, -79.05622394;2017-02-16;7;2017-02-16;7;2017-02-16;7;G;27514;DOMESTIC DISTUR;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;W;F
