country,cause,sex,death,total_concentration
Guinea-Bissau,Lower respiratory infections,male,197,27.1
Guinea-Bissau,"Trachea, bronchus, lung cancers",male,1,27.1
Guinea-Bissau,Ischaemic heart disease,male,85,27.1
Guinea-Bissau,Stroke,male,44,27.1
Guinea-Bissau,Chronic obstructive pulmonary disease,male,21,27.1
Guyana,Total,male,189,20.5
Guyana,Lower respiratory infections,male,25,20.5
Guyana,"Trachea, bronchus, lung cancers",male,2,20.5
Guyana,Ischaemic heart disease,male,105,20.5
Guyana,Stroke,male,41,20.5
Guyana,Chronic obstructive pulmonary disease,male,15,20.5
Haiti,Total,male,2134,14.6
Haiti,Lower respiratory infections,male,548,14.6
Haiti,"Trachea, bronchus, lung cancers",male,21,14.6
Haiti,Ischaemic heart disease,male,983,14.6
Haiti,Stroke,male,422,14.6
Haiti,Chronic obstructive pulmonary disease,male,158,14.6
Honduras,Total,male,992,20.1
Honduras,Lower respiratory infections,male,91,20.1
Honduras,"Trachea, bronchus, lung cancers",male,23,20.1
Honduras,Ischaemic heart disease,male,656,20.1
Honduras,Stroke,male,127,20.1
Honduras,Chronic obstructive pulmonary disease,male,95,20.1
Hungary,Total,male,4029,15.6
Hungary,Lower respiratory infections,male,90,15.6
Hungary,"Trachea, bronchus, lung cancers",male,526,15.6
Hungary,Ischaemic heart disease,male,2409,15.6
Hungary,Stroke,male,488,15.6
Hungary,Chronic obstructive pulmonary disease,male,515,15.6
Iceland,Total,male,30,5.9
Iceland,Lower respiratory infections,male,1,5.9
Iceland,"Trachea, bronchus, lung cancers",male,2,5.9
Iceland,Ischaemic heart disease,male,19,5.9
Iceland,Stroke,male,4,5.9
Iceland,Chronic obstructive pulmonary disease,male,4,5.9
India,Total,male,606206,65.2
India,Lower respiratory infections,male,105673,65.2
India,"Trachea, bronchus, lung cancers",male,20105,65.2
India,Ischaemic heart disease,male,251193,65.2
India,Stroke,male,77348,65.2
India,Chronic obstructive pulmonary disease,male,151886,65.2
Indonesia,Total,male,54340,15.6
Indonesia,Lower respiratory infections,male,3917,15.6
Indonesia,"Trachea, bronchus, lung cancers",male,2246,15.6
Indonesia,Ischaemic heart disease,male,24347,15.6
Indonesia,Stroke,male,17568,15.6
Indonesia,Chronic obstructive pulmonary disease,male,6262,15.6
Iran (Islamic Republic of),Total,male,15647,35.1
Iran (Islamic Republic of),Lower respiratory infections,male,1514,35.1
Iran (Islamic Republic of),"Trachea, bronchus, lung cancers",male,646,35.1
Iran (Islamic Republic of),Ischaemic heart disease,male,9551,35.1
Iran (Islamic Republic of),Stroke,male,2321,35.1
Iran (Islamic Republic of),Chronic obstructive pulmonary disease,male,1615,35.1
Iraq,Total,male,6970,57.7
Iraq,Lower respiratory infections,male,1659,57.7
Iraq,"Trachea, bronchus, lung cancers",male,466,57.7
Iraq,Ischaemic heart disease,male,3616,57.7
Iraq,Stroke,male,925,57.7
Iraq,Chronic obstructive pulmonary disease,male,303,57.7
Ireland,Total,male,509,8.3
Ireland,Lower respiratory infections,male,39,8.3
Ireland,"Trachea, bronchus, lung cancers",male,49,8.3
Ireland,Ischaemic heart disease,male,273,8.3
Ireland,Stroke,male,54,8.3
Ireland,Chronic obstructive pulmonary disease,male,95,8.3
Israel,Total,male,1053,19.5
Israel,Lower respiratory infections,male,211,19.5
Israel,"Trachea, bronchus, lung cancers",male,163,19.5
Israel,Ischaemic heart disease,male,380,19.5
Israel,Stroke,male,123,19.5
Israel,Chronic obstructive pulmonary disease,male,177,19.5
Italy,Total,male,14657,15.3
Italy,Lower respiratory infections,male,966,15.3
Italy,"Trachea, bronchus, lung cancers",male,2377,15.3
Italy,Ischaemic heart disease,male,6320,15.3
Italy,Stroke,male,2295,15.3
Italy,Chronic obstructive pulmonary disease,male,2700,15.3
Jamaica,Total,male,348,13.3
Jamaica,Lower respiratory infections,male,34,13.3
Jamaica,"Trachea, bronchus, lung cancers",male,31,13.3
Jamaica,Ischaemic heart disease,male,128,13.3
Jamaica,Stroke,male,102,13.3
Jamaica,Chronic obstructive pulmonary disease,male,52,13.3
Japan,Total,male,29255,11.4
Japan,Lower respiratory infections,male,7872,11.4
Japan,"Trachea, bronchus, lung cancers",male,3803,11.4
Japan,Ischaemic heart disease,male,7927,11.4
Japan,Stroke,male,4871,11.4
Japan,Chronic obstructive pulmonary disease,male,4781,11.4
Jordan,Total,male,1488,32.1
Jordan,Lower respiratory infections,male,168,32.1
Jordan,"Trachea, bronchus, lung cancers",male,88,32.1
Jordan,Ischaemic heart disease,male,898,32.1
Jordan,Stroke,male,222,32.1
Jordan,Chronic obstructive pulmonary disease,male,111,32.1
Kazakhstan,Total,male,4613,11.3
Kazakhstan,Lower respiratory infections,male,215,11.3
Kazakhstan,"Trachea, bronchus, lung cancers",male,223,11.3
Kazakhstan,Ischaemic heart disease,male,2920,11.3
Kazakhstan,Stroke,male,826,11.3
Kazakhstan,Chronic obstructive pulmonary disease,male,428,11.3
Kenya,Total,male,3674,25.9
Kenya,Lower respiratory infections,male,2258,25.9
Kenya,"Trachea, bronchus, lung cancers",male,43,25.9
Kenya,Ischaemic heart disease,male,666,25.9
Kenya,Stroke,male,454,25.9
Kenya,Chronic obstructive pulmonary disease,male,253,25.9
Kiribati,Total,male,16,10.5
Kiribati,Lower respiratory infections,male,3,10.5
Kiribati,"Trachea, bronchus, lung cancers",male,0,10.5
Kiribati,Ischaemic heart disease,male,6,10.5
Kiribati,Stroke,male,4,10.5
Kiribati,Chronic obstructive pulmonary disease,male,2,10.5
Kuwait,Total,male,1060,57.2
Kuwait,Lower respiratory infections,male,208,57.2
Kuwait,"Trachea, bronchus, lung cancers",male,48,57.2
Kuwait,Ischaemic heart disease,male,647,57.2
Kuwait,Stroke,male,113,57.2
Kuwait,Chronic obstructive pulmonary disease,male,43,57.2
Kyrgyzstan,Total,male,1593,18.1
Kyrgyzstan,Lower respiratory infections,male,100,18.1
Kyrgyzstan,"Trachea, bronchus, lung cancers",male,47,18.1
Kyrgyzstan,Ischaemic heart disease,male,971,18.1
Kyrgyzstan,Stroke,male,328,18.1
Kyrgyzstan,Chronic obstructive pulmonary disease,male,146,18.1
Lao People's Democratic Republic,Total,male,1297,24.5
Lao People's Democratic Republic,Lower respiratory infections,male,314,24.5
Lao People's Democratic Republic,"Trachea, bronchus, lung cancers",male,51,24.5
Lao People's Democratic Republic,Ischaemic heart disease,male,489,24.5
Lao People's Democratic Republic,Stroke,male,308,24.5
Lao People's Democratic Republic,Chronic obstructive pulmonary disease,male,135,24.5
Latvia,Total,male,754,12.7
Latvia,Lower respiratory infections,male,31,12.7
Latvia,"Trachea, bronchus, lung cancers",male,59,12.7
Latvia,Ischaemic heart disease,male,475,12.7
Latvia,Stroke,male,155,12.7
Latvia,Chronic obstructive pulmonary disease,male,33,12.7
Lebanon,Total,male,1825,30.7
Lebanon,Lower respiratory infections,male,67,30.7
Lebanon,"Trachea, bronchus, lung cancers",male,120,30.7
Lebanon,Ischaemic heart disease,male,1460,30.7
Lebanon,Stroke,male,56,30.7
Lebanon,Chronic obstructive pulmonary disease,male,122,30.7
Lesotho,Total,male,487,27.8
Lesotho,Lower respiratory infections,male,212,27.8
Lesotho,"Trachea, bronchus, lung cancers",male,4,27.8
Lesotho,Ischaemic heart disease,male,94,27.8
Lesotho,Stroke,male,80,27.8
Lesotho,Chronic obstructive pulmonary disease,male,96,27.8
Liberia,Total,male,541,17.2
Liberia,Lower respiratory infections,male,257,17.2
Liberia,"Trachea, bronchus, lung cancers",male,2,17.2
Liberia,Ischaemic heart disease,male,178,17.2
